Sintoma_predicho;Variable;Coeficiente;Error_estandar;p_valor;IC_Inferior;IC_Superior;R2_ajustado;RMSE
Todos;C(Localidad)[T.FONTIBON];0,08920555199211794;0,4544208621141997;0,8448083757270122;-0,8134456670027408;0,9918567709869768;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.KENNEDY];-0,0334752412229139;0,4017310642679948;0,9337741699958388;-0,8314646495051361;0,7645141670593083;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.PUENTE ARANDA];0,009613886509837924;0,20826010677065346;0,9632815826489411;-0,4040692317561701;0,4232970047758459;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.SANTA FE];0,41685827027773387;0,3467038500928475;0,23234848341057032;-0,2718263368956754;1,105542877451143;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.SUBA];-0,10561780031194712;0,20454732003866413;0,6068631853553682;-0,511925923834303;0,3006903232104087;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.USAQUEN];0,17108672956927556;0,1760403797744351;0,33369605556156645;-0,17859585906983955;0,5207693182083907;0,2880271640456147;0,282319920023178
Todos;C(Localidad)[T.USME];-0,609451578996016;0,4092399453092317;0,1398850173100304;-1,422356457033798;0,20345329904176623;0,2880271640456147;0,282319920023178
Todos;CO;-0,24675275368420355;0,12052966352189953;0,04351815978212627;-0,48617012373386775;-0,007335383634539339;0,2880271640456147;0,282319920023178
Todos;NO2;-0,061851665092525154;0,10422590930776598;0,5543599123327148;-0,2688836302399782;0,1451803000549279;0,2880271640456147;0,282319920023178
Todos;O3;-0,07349279544581967;0,07062672881284329;0,30082711124592676;-0,2137841160509707;0,06679852515933137;0,2880271640456147;0,282319920023178
Todos;SO2;0,22927210155610045;0,10514664990267637;0,03180008101134665;0,020411198325771568;0,43813300478642936;0,2880271640456147;0,282319920023178
Todos;PM25;0,0992907152863357;0,10830156938675396;0,361671571240023;-0,11583704793119506;0,3144184785038665;0,2880271640456147;0,282319920023178
Todos;PM10;0,03899084595863435;0,18141940371513607;0,8303098050891586;-0,32137651294936;0,39935820486662865;0,2880271640456147;0,282319920023178
