variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
O3;SUBA;2020;2023;20.447696351481895;19.55085096767076;94518;99%;20.28388867373046;20.61150402923333
O3;SUBA;2021;2021;20.52735972956481;18.885852542795348;29182;95%;20.310666584524427;20.744052874605195
O3;SUBA;2021;2021;20.52735972956481;18.885852542795348;29182;90%;20.34550687939154;20.709212579738082
O3;SUBA;2021;2021;20.52735972956481;18.885852542795348;29182;99%;20.242569847701866;20.812149611427756
O3;SUBA;2021;2022;19.245467749871548;18.906252247118356;54271;95%;19.08640103459355;19.404534465149545
O3;SUBA;2021;2022;19.245467749871548;18.906252247118356;54271;90%;19.111975452817596;19.3789600469255
O3;SUBA;2021;2022;19.245467749871548;18.906252247118356;54271;99%;19.036415959985984;19.45451953975711
O3;SUBA;2021;2023;18.979225924252308;18.176506666842663;79788;95%;18.85310233837569;19.105349510128924
O3;SUBA;2021;2023;18.979225924252308;18.176506666842663;79788;90%;18.87338005110039;19.085071797404225
O3;SUBA;2021;2023;18.979225924252308;18.176506666842663;79788;99%;18.81346998458368;19.144981863920936
O3;SUBA;2022;2022;17.754448906896187;18.820805488784544;25089;95%;17.521551005861934;17.98734680793044
O3;SUBA;2022;2022;17.754448906896187;18.820805488784544;25089;90%;17.558997039478804;17.94990077431357
O3;SUBA;2022;2022;17.754448906896187;18.820805488784544;25089;99%;17.44836066076489;18.060537153027482
O3;SUBA;2022;2023;18.08649303276455;17.69330058042983;50606;95%;17.932334940040484;18.24065112548862
O3;SUBA;2022;2023;18.08649303276455;17.69330058042983;50606;90%;17.95712020909044;18.21586585643866
O3;SUBA;2022;2023;18.08649303276455;17.69330058042983;50606;99%;17.883892160615083;18.28909390491402
O3;SUBA;2023;2023;18.412967738800187;16.503663121728447;25517;95%;18.210463445212056;18.61547203238832
O3;SUBA;2023;2023;18.412967738800187;16.503663121728447;25517;90%;18.24302266981683;18.582912807783543
O3;SUBA;2023;2023;18.412967738800187;16.503663121728447;25517;99%;18.14682469999014;18.679110777610234
O3;TUNJELITO;2020;2020;24.96877373324695;17.634521855439907;8432;95%;24.59232240578752;25.345225060706383
O3;TUNJELITO;2020;2020;24.96877373324695;17.634521855439907;8432;90%;24.652856462510037;25.284691003983866
O3;TUNJELITO;2020;2020;24.96877373324695;17.634521855439907;8432;99%;24.473991837105565;25.46355562938834
O3;TUNJELITO;2020;2021;25.31061783738394;18.15102588879452;17096;95%;25.038515192795845;25.582720481972036
