variable,localidad,year_start,year_end,mean,std,n
NO2,BARRIOS UNIDOS,2021,2023,25.038080439576483,13.985258585830563,28648
NO2,BARRIOS UNIDOS,2022,2022,25.628792648200882,12.888663361579908,8746
NO2,BARRIOS UNIDOS,2022,2023,24.101566785232432,13.123448248228653,17466
NO2,BARRIOS UNIDOS,2023,2023,22.726351515151514,13.181514496501325,8720
NO2,BOSA,2020,2020,20.696333927958836,12.562980523399103,1784
NO2,BOSA,2020,2021,20.125645310106623,13.95443818545847,6837
NO2,BOSA,2020,2022,20.125645310106623,13.95443818545847,6837
NO2,BOSA,2020,2023,20.125645310106623,13.95443818545847,6837
NO2,BOSA,2021,2021,19.922359283095723,14.413440206358294,5053
NO2,BOSA,2021,2022,19.922359283095723,14.413440206358294,5053
NO2,BOSA,2021,2023,19.922359283095723,14.413440206358294,5053
NO2,BOSA,2022,2022,,,0
NO2,BOSA,2022,2023,,,0
NO2,BOSA,2023,2023,,,0
NO2,CHAPINERO,2020,2020,13.513788773006135,10.982310793545212,8701
NO2,CHAPINERO,2020,2021,11.24210263262864,9.105411377555754,18273
NO2,CHAPINERO,2020,2022,11.818339849333592,9.699953536400114,23955
NO2,CHAPINERO,2020,2023,11.818339849333592,9.699953536400114,27702
NO2,CHAPINERO,2021,2021,10.902547528656578,8.740676172006786,9572
NO2,CHAPINERO,2021,2022,11.662940580586207,9.559228069945565,15254
NO2,CHAPINERO,2021,2023,11.662940580586207,9.559228069945565,19001
NO2,CHAPINERO,2022,2022,12.86840468835181,10.619509169001413,5682
NO2,CHAPINERO,2022,2023,12.86840468835181,10.619509169001415,9429
NO2,CHAPINERO,2023,2023,,,3747
NO2,CIUDAD BOLIVAR,2020,2020,29.269077623762378,14.216533460891581,1827
NO2,CIUDAD BOLIVAR,2020,2021,31.15653383054893,18.362448627942936,10462
NO2,CIUDAD BOLIVAR,2020,2022,30.576206859050288,18.03366184336872,19108
NO2,CIUDAD BOLIVAR,2020,2023,28.837078878671022,18.195872665402412,31389
NO2,CIUDAD BOLIVAR,2021,2021,31.573066409322646,19.132581594856642,8635
NO2,CIUDAD BOLIVAR,2021,2022,30.718028352828835,18.39502144339984,17281
NO2,CIUDAD BOLIVAR,2021,2023,28.805851295427438,18.450127505041763,29562
NO2,CIUDAD BOLIVAR,2022,2022,29.891096736323078,17.614102195335946,8646
NO2,CIUDAD BOLIVAR,2022,2023,27.457913848155155,17.95514395758517,20927
NO2,CIUDAD BOLIVAR,2023,2023,24.988786871574934,17.96189179105742,12281
