Sintoma_predicho;Variable;tipo_variable;Coeficiente;Error_estandar;p_valor;IC_Inferior;IC_Superior;R2_ajustado;RMSE
Todos;BOSA;Localidad;-0.6518349995812557;0.2731198409944099;0.0190287742683997;-1.1941968753617975;-0.1094731238007138;0.2992784844438931;0.283141360581905
Todos;CIUDAD BOLIVAR;Localidad;-0.4730078658095359;0.2307060446623376;0.0431534503509805;-0.9311443478805548;-0.0148713837385172;0.2992784844438931;0.283141360581905
Todos;ENGATIVA;Localidad;0.139954304675534;0.1433975646806534;0.3316023128188088;-0.1448048394400799;0.4247134487911481;0.2992784844438931;0.283141360581905
Todos;FONTIBON;Localidad;0.0858857653220593;0.1775829717944344;0.6297800434396563;-0.2667588222642517;0.4385303529083703;0.2992784844438931;0.283141360581905
Todos;KENNEDY;Localidad;-0.0497045820492736;0.2744440785525601;0.8566753123687354;-0.5946961311754151;0.4952869670768678;0.2992784844438931;0.283141360581905
Todos;PUENTE ARANDA;Localidad;-0.0284747879387966;0.1689980245507537;0.8665622659110482;-0.3640713717125433;0.30712179583495;0.2992784844438931;0.283141360581905
Todos;SANTA FE;Localidad;0.2830494889235457;0.282264052642056;0.3185677783043011;-0.277470978937654;0.8435699567847456;0.2992784844438931;0.283141360581905
Todos;SUBA;Localidad;-0.0534822050577721;0.1563644651587413;0.7330958726146981;-0.363991043669215;0.2570266335536706;0.2992784844438931;0.283141360581905
Todos;USAQUEN;Localidad;0.1749520789847743;0.1716667025110068;0.3107813177074811;-0.1659439703243476;0.5158481282938963;0.2992784844438931;0.283141360581905
Todos;USME;Localidad;-0.5947238891599496;0.2841427845731754;0.0390676139719237;-1.1589751462986355;-0.0304726320212633;0.2992784844438931;0.283141360581905
Todos;PM25;Contaminante;0.0710912965010047;0.0754813318377574;0.3487149790430323;-0.0787996692116531;0.2209822622136626;0.2992784844438931;0.283141360581905
Todos;CO;Contaminante;-0.2231572717136687;0.0979635695880008;0.0250191590952859;-0.4176935059413141;-0.0286210374860232;0.2992784844438931;0.283141360581905
Todos;SO2;Contaminante;0.2331308270673404;0.0988872564913554;0.0204924394137245;0.0367603337111261;0.4295013204235547;0.2992784844438931;0.283141360581905
Todos;O3;Contaminante;-0.0529122205940464;0.0640315048277017;0.4107224773317366;-0.1800660990561898;0.0742416578680969;0.2992784844438931;0.283141360581905
