variable;localidad;year_start;year_end;mean;std;n;ci_90_lower;ci_90_upper;ci_95_lower;ci_95_upper;ci_99_lower;ci_99_upper
CO;KENNEDY;2021;2021;1527,0057129019156;957,6608442929423;18219;1515,3349618784403;1538,6764639253909;1513,0989385330668;1540,9124872707644;1508,728412652879;1545,2830131509522
CO;KENNEDY;2021;2022;1451,9097143310787;1035,8551315092006;26610;1441,464461385121;1462,3549672770364;1439,4632949393815;1464,356133722776;1435,5519171896833;1468,267511472474
CO;KENNEDY;2021;2023;1347,415250818064;964,82459230777;34655;1338,890056639181;1355,9404449969468;1337,2567721497483;1357,5737294863795;1334,0644777522302;1360,7660238838976
CO;KENNEDY;2022;2022;1288,857158263616;1171,6521458946986;8391;1267,8161259156636;1309,8981906115682;1263,7843730875902;1313,9299434396416;1255,903189691484;1321,811126835748
CO;KENNEDY;2022;2023;1148,342567153809;933,1791782419031;16436;1136,3691335331548;1160,316000774463;1134,07509447222;1162,6100398353979;1129,5911328011853;1167,0940015064325
CO;KENNEDY;2023;2023;1001,7847133312617;552,5558089331869;8045;991,6504916537898;1011,9189350087337;989,7086170227826;1013,8608096397409;985,9126544162015;1017,656772246322
CO;PUENTE ARANDA;2020;2020;812,6642279942279;653,7685336024624;9009;801,3335044750145;823,9949515134413;799,1624124869812;826,1660435014745;794,9184586597363;830,4099973287194
CO;PUENTE ARANDA;2020;2021;876,2311221685264;726,1041183109081;25990;868,8224820699479;883,639762267105;867,4030865292888;885,0591578077641;864,6288049057727;887,8334394312802
CO;PUENTE ARANDA;2020;2022;835,8292821994652;666,1200924594158;43015;830,5462995998166;841,1122647991137;829,5341785996244;842,124385799306;827,555979362338;844,1025850365924
CO;PUENTE ARANDA;2020;2023;790,1016274879903;626,0823639461171;60159;785,9029249199846;794,300330055996;785,0985411781761;795,1047137978045;783,5263811906767;796,6768737853039
CO;PUENTE ARANDA;2021;2021;909,9555288357575;759,5583413139326;16981;900,367475132039;919,543582539476;898,5304670910821;921,3805905804329;894,9398348982954;924,9712227732196
CO;PUENTE ARANDA;2021;2022;841,9662572431334;669,2292669106996;34006;835,9967808589385;847,9357336273284;834,8531280026555;849,0793864836114;832,6178288114342;851,3146856748327
