Contaminante;Sintoma;Correlacion;Localidad;Año
O3;Casos de sibilancia último año;-1.473629251029804e-17;SAN CRISTOBAL;2022
CO;Casos de sibilancia último año;1.0446511172285518e-16;SANTA FE;2022
PM10;Casos de sibilancia último año;-1.5992599776891876e-16;SANTA FE;2022
NO2;Casos de sibilancia último año;-5.1761008387274495e-17;SANTA FE;2022
O3;Casos de sibilancia último año;-1.5194613994308594e-16;SANTA FE;2022
CO;Casos de sibilancia último año;-1.3062845494152177e-17;SUBA;2022
PM10;Casos de sibilancia último año;1.523588094343741e-16;SUBA;2022
NO2;Casos de sibilancia último año;4.385175926801201e-16;SUBA;2022
O3;Casos de sibilancia último año;3.434054666523899e-16;SUBA;2022
CO;Casos de sibilancia último año;6.161918700175503e-17;TEUSAQUILLO;2022
PM10;Casos de sibilancia último año;-2.1852299282285533e-16;TEUSAQUILLO;2022
NO2;Casos de sibilancia último año;-2.0942510516524427e-16;TEUSAQUILLO;2022
O3;Casos de sibilancia último año;-3.293643441074271e-16;TEUSAQUILLO;2022
CO;Casos de sibilancia último año;-6.412818802206263e-16;USAQUEN;2022
PM10;Casos de sibilancia último año;-1.1859783097366848e-15;USAQUEN;2022
NO2;Casos de sibilancia último año;-1.0252321682789076e-15;USAQUEN;2022
O3;Casos de sibilancia último año;-7.099469888938525e-16;USAQUEN;2022
CO;Casos de sibilancia último año;4.200391811889748e-16;USME;2022
PM10;Casos de sibilancia último año;6.478655405425349e-17;USME;2022
NO2;Casos de sibilancia último año;9.09022630385149e-16;USME;2022
O3;Casos de sibilancia último año;-1.4768821098592077e-16;USME;2022
CO;Casos de sibilancia último año;2.0339260082192122e-16;ANTONIO NARINO;2023
PM10;Casos de sibilancia último año;4.875050790233489e-16;ANTONIO NARINO;2023
NO2;Casos de sibilancia último año;1.7533332618434813e-16;ANTONIO NARINO;2023
O3;Casos de sibilancia último año;-1.0281589912662838e-16;ANTONIO NARINO;2023
CO;Casos de sibilancia último año;3.531075545539963e-17;BARRIOS UNIDOS;2023
PM10;Casos de sibilancia último año;3.3709604517861686e-16;BARRIOS UNIDOS;2023
NO2;Casos de sibilancia último año;2.0103416021020163e-16;BARRIOS UNIDOS;2023
O3;Casos de sibilancia último año;-1.7930958205417033e-16;BARRIOS UNIDOS;2023
