;Estacion;Anio;Mes;Hora;Localidad;mean_CO_granular;mean_NO2_granular;mean_O3_granular;mean_PM10_granular;mean_PM25_granular;mean_SO2_granular;mean_CO_local;mean_NO2_local;mean_O3_local;mean_PM10_local;mean_PM25_local;mean_SO2_local
98;BOGOTA RURAL - MOCHUELO;2022;5;2;FONTIBÓN;;;;;24.6452;16.5461;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
99;BOGOTA RURAL - MOCHUELO;2022;5;3;FONTIBÓN;;;;;25.0;14.6845;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
100;BOGOTA RURAL - MOCHUELO;2022;5;4;FONTIBÓN;;;;;23.5333;16.5226;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
101;BOGOTA RURAL - MOCHUELO;2022;5;5;FONTIBÓN;;;;;23.4516;16.9855;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
102;BOGOTA RURAL - MOCHUELO;2022;5;6;FONTIBÓN;;;;;30.2903;18.7213;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
103;BOGOTA RURAL - MOCHUELO;2022;5;7;FONTIBÓN;;;;;26.7419;20.3403;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
104;BOGOTA RURAL - MOCHUELO;2022;5;8;FONTIBÓN;;;;;25.1;17.9447;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
105;BOGOTA RURAL - MOCHUELO;2022;5;9;FONTIBÓN;;;;;17.4839;18.7923;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
106;BOGOTA RURAL - MOCHUELO;2022;5;10;FONTIBÓN;;;;;17.0645;15.7771;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
107;BOGOTA RURAL - MOCHUELO;2022;5;11;FONTIBÓN;;;;;14.6774;12.6106;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
108;BOGOTA RURAL - MOCHUELO;2022;5;12;FONTIBÓN;;;;;12.6129;12.7103;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
109;BOGOTA RURAL - MOCHUELO;2022;5;13;FONTIBÓN;;;;;11.0;13.071;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
110;BOGOTA RURAL - MOCHUELO;2022;5;14;FONTIBÓN;;;;;12.0;16.5617;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
111;BOGOTA RURAL - MOCHUELO;2022;5;15;FONTIBÓN;;;;;14.8333;15.8227;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
112;BOGOTA RURAL - MOCHUELO;2022;5;16;FONTIBÓN;;;;;12.4194;15.8771;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
113;BOGOTA RURAL - MOCHUELO;2022;5;17;FONTIBÓN;;;;;12.5667;17.9577;879.9863;41.5463;20.1755;47.4973;22.7017;9.2698
