;variable;localidad;year_start;year_end;mean;std;n;confidence_level;ci_lower;ci_upper
1910;PM25;SANTA FE;2021;2023;13.484668912322366;10.434421381110162;22480;99%;13.305392077810927;13.663945746833805
1911;PM25;SANTA FE;2022;2022;15.205063495815786;10.79342653769213;8506;95%;14.975656556121383;15.434470435510189
1912;PM25;SANTA FE;2022;2022;15.205063495815786;10.79342653769213;8506;90%;15.012545551969511;15.39758143966206
1913;PM25;SANTA FE;2022;2022;15.205063495815786;10.79342653769213;8506;99%;14.903546910533617;15.506580081097955
1914;PM25;SANTA FE;2022;2023;14.334832008410395;10.558136470578496;15149;95%;14.166689283201652;14.502974733619137
1915;PM25;SANTA FE;2022;2023;14.334832008410395;10.558136470578496;15149;90%;14.193724830698002;14.475939186122787
1916;PM25;SANTA FE;2022;2023;14.334832008410395;10.558136470578496;15149;99%;14.113844821081114;14.555819195739675
1917;PM25;SANTA FE;2023;2023;13.22054794520548;10.141324058492636;6643;95%;12.97663223506194;13.46446365534902
1918;PM25;SANTA FE;2023;2023;13.22054794520548;10.141324058492636;6643;90%;13.015856181483779;13.425239708927181
1919;PM25;SANTA FE;2023;2023;13.22054794520548;10.141324058492636;6643;99%;12.899954651245856;13.541141239165103
1920;PM25;SUBA;2020;2020;14.443985267227442;11.49270640939994;14730;95%;14.258373835861272;14.62959669859361
1921;PM25;SUBA;2020;2020;14.443985267227442;11.49270640939994;14730;90%;14.288218247100852;14.59975228735403
1922;PM25;SUBA;2020;2020;14.443985267227442;11.49270640939994;14730;99%;14.200038929932862;14.68793160452202
1923;PM25;SUBA;2020;2021;12.419653905362178;9.722902429603263;43912;95%;12.328711930534316;12.51059588019004
1924;PM25;SUBA;2020;2021;12.419653905362178;9.722902429603263;43912;90%;12.343333487791467;12.49597432293289
1925;PM25;SUBA;2020;2021;12.419653905362178;9.722902429603263;43912;99%;12.300133990101932;12.539173820622425
1926;PM25;SUBA;2020;2022;13.029582739023558;9.53779170033766;69001;95%;12.958416199240853;13.100749278806264
1927;PM25;SUBA;2020;2022;13.029582739023558;9.53779170033766;69001;90%;12.969858141925599;13.089307336121518
1928;PM25;SUBA;2020;2022;13.029582739023558;9.53779170033766;69001;99%;12.936053105095745;13.123112372951372
1929;PM25;SUBA;2020;2023;12.990317246805915;9.404592012211726;94518;95%;12.930360736039558;13.050273757572272
1930;PM25;SUBA;2020;2023;12.990317246805915;9.404592012211726;94518;90%;12.940000307993133;13.040634185618698
1931;PM25;SUBA;2020;2023;12.990317246805915;9.404592012211726;94518;99%;12.911520452729404;13.069114040882427
1932;PM25;SUBA;2021;2021;11.397845908642443;8.513134046758681;29182;95%;11.30016761815689;11.495524199127997
1933;PM25;SUBA;2021;2021;11.397845908642443;8.513134046758681;29182;90%;11.315872500939397;11.47981931634549
1934;PM25;SUBA;2021;2021;11.397845908642443;8.513134046758681;29182;99%;11.269471802471381;11.526220014813505
1935;PM25;SUBA;2021;2022;12.645691724661502;8.895092511886004;54271;95%;12.570853352176798;12.720530097146206
1936;PM25;SUBA;2021;2022;12.645691724661502;8.895092511886004;54271;90%;12.58288571126453;12.708497738058474
